Data;Z;Paleta;Nazwa;Miejsce;Ilość;Jm;Uwagi;Skos
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;940;kg;;60608
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1010;kg;;60608
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;980;kg;;60609
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;960;kg;;60608
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1050;kg;;60607
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1020;kg;;60607
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1040;kg;;60607
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1060;kg;;60607
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;660;kg;;60609
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1020;kg;;60607
22.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1050;kg;;60607
22.08.2022;3;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1080;kg;PO SORTOWANIU;
22.08.2022;2;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1120;kg;PO SORTOWANIU;
22.08.2022;2;5,90158E+16;Kukurydza ziarno st.B nadst.;POW1;1100;kg;PO SORTOWANIU;
23.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1150;kg;;
23.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1000;kg;;
22.08.2022;2;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1080;kg;PO SORTOWANIU;
23.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1000;kg;DO PONOWEGO SORT;
23.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;970;kg;PO SORTOW;
23.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1080;kg;;
22.08.2022;2;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1130;kg;PO SORTOWANIU;
23.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;940;kg;;
23.08.2022;1;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1030;kg;;
22.08.2022;2;5,90158E+16;Kukurydza ziarno st.B nadst.;2b46;1120;kg;;
